"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"192","ILMN_2089175",1.04028311728353,9.85768786997338,10.089473844794,5.66253862591777e-16,5.23730640035137e-14,25.9488515665764,"SYAP1","synapse associated protein 1"
"193","ILMN_2091707",1.07106504417715,7.98869292653564,7.8726305043145,1.33767768466709e-11,3.91628430997158e-10,16.0301101683468,NA,NA
"194","ILMN_2092118",-1.45631104615964,9.72787689920704,-8.21653623048658,2.8099396773063e-12,9.84396078049796e-11,17.5653608324949,"FPR1","formyl peptide receptor 1"
"195","ILMN_2093389",1.17856570766372,8.55214639903481,9.38809719430112,1.35848263316837e-14,8.82434441110635e-13,22.8171342686828,"SNAPC1","small nuclear RNA activating complex polypeptide 1"
"196","ILMN_2096372",-1.39492204230274,7.03408493730342,-8.80259250397094,1.951235331392e-13,9.20530842054502e-12,20.1917286919414,"ALDH1A1","aldehyde dehydrogenase 1 family member A1"
"197","ILMN_2096970",1.10456077039673,8.74684960052164,8.58272579543327,5.3107637429806e-13,2.2573853015168e-11,19.2055742801665,"MYO3B","myosin IIIB"
"198","ILMN_2101650",1.06583354812355,6.76160305128393,8.13307256121715,4.10555983228515e-12,1.37406773578904e-10,17.192188949014,"HRH1","histamine receptor H1"
"199","ILMN_2101650",1.06583354812355,6.76160305128393,8.13307256121715,4.10555983228515e-12,1.37406773578904e-10,17.192188949014,"LIMS1","LIM zinc finger domain containing 1"
"200","ILMN_2101650",1.06583354812355,6.76160305128393,8.13307256121715,4.10555983228515e-12,1.37406773578904e-10,17.192188949014,"PGPEP1","pyroglutamyl-peptidase I"
"201","ILMN_2101651",1.15185779121506,8.91189872232691,9.55904396539037,6.24951895044136e-15,4.40488481963646e-13,23.5823107504141,"UBE2G2","ubiquitin conjugating enzyme E2 G2"
"202","ILMN_2102721",-1.79049489706037,5.87144559543624,-8.19937878466701,3.03779342285357e-12,1.05405405290843e-10,17.4886231433841,"DEFA1","defensin alpha 1"
"203","ILMN_2102721",-1.79049489706037,5.87144559543624,-8.19937878466701,3.03779342285357e-12,1.05405405290843e-10,17.4886231433841,"DEFA1B","defensin alpha 1B"
"204","ILMN_2105253",1.10755862641767,8.711031905817,8.02673512399638,6.65267321062005e-12,2.12274216012379e-10,16.7172430262719,"PTGR2","prostaglandin reductase 2"
"205","ILMN_2106380",1.04481527144144,8.77060886595077,9.1997147402635,3.1996332845541e-14,1.86558198882218e-12,21.97297474845,"TNFSF15","TNF superfamily member 15"
"206","ILMN_2107004",1.0080604071329,10.2775687837395,9.35745749511324,1.56148372509143e-14,9.93793900723956e-13,22.6798939059594,"CMKLR2","chemerin chemokine-like receptor 2"
